30	22667	22474	14160	0	ISHPR,314.54,+8.66,-179.27 61	ISDPT,-000.282,M,000.9745,B,27.02,C 25	ISDPT,-000.306,M,000.9799,B,27.14,C 2E
31	22669	22473	14089	0	ISHPR,314.54,+8.66,-179.27 61	ISDPT,-000.278,M,000.9749,B,27.02,C 2C	ISDPT,-000.303,M,000.9802,B,27.14,C 26
32	22666	22469	14187	0	ISHPR,314.54,+8.66,-179.27 61	ISDPT,-000.277,M,000.9750,B,27.02,C 2B	ISDPT,-000.303,M,000.9802,B,27.15,C 27
33	22670	22472	14155	0	ISHPR,314.54,+8.67,-179.28 6F	ISDPT,-000.275,M,000.9752,B,27.02,C 2B	ISDPT,-000.302,M,000.9803,B,27.15,C 27
34	22671	22473	14119	0	ISHPR,314.54,+8.66,-179.28 6E	ISDPT,-000.274,M,000.9754,B,27.02,C 2C	ISDPT,-000.304,M,000.9801,B,27.15,C 23
35	22668	22474	14216	0	ISHPR,314.54,+8.67,-179.28 6F	ISDPT,-000.274,M,000.9753,B,27.02,C 2B	ISDPT,-000.301,M,000.9804,B,27.15,C 23
36	22669	22474	14215	0	ISHPR,314.54,+8.67,-179.28 6F	ISDPT,-000.273,M,000.9754,B,27.02,C 2B	ISDPT,-000.299,M,000.9806,B,27.15,C 21
37	22671	22472	14149	0	ISHPR,314.55,+8.66,-179.28 6F	ISDPT,-000.270,M,000.9757,B,27.02,C 2B	ISDPT,-000.298,M,000.9807,B,27.15,C 21
38	22670	22471	14166	0	ISHPR,314.56,+8.65,-179.27 60	ISDPT,-000.270,M,000.9758,B,27.03,C 25	ISDPT,-000.297,M,000.9808,B,27.15,C 21
39	22671	22469	14255	0	ISHPR,314.57,+8.66,-179.27 62	ISDPT,-000.269,M,000.9758,B,27.02,C 2C	ISDPT,-000.295,M,000.9810,B,27.15,C 2A
40	22669	22474	14170	0	ISHPR,314.57,+8.65,-179.27 61	ISDPT,-000.270,M,000.9758,B,27.03,C 25	ISDPT,-000.293,M,000.9812,B,27.15,C 2E
41	22668	22473	14200	0	ISHPR,314.56,+8.65,-179.28 6F	ISDPT,-000.268,M,000.9759,B,27.03,C 2D	ISDPT,-000.290,M,000.9815,B,27.15,C 2A
