34	22667	22471	15007	0	ISHPR,315.21,+8.94,-179.25 6D	ISDPT,-000.249,M,000.9778,B,28.32,C 20	ISDPT,-000.268,M,000.9837,B,28.49,C 2B
35	22663	22470	14955	0	ISHPR,315.21,+8.93,-179.25 6A	ISDPT,-000.249,M,000.9778,B,28.32,C 20	ISDPT,-000.272,M,000.9833,B,28.49,C 24
36	22668	22465	14951	0	ISHPR,315.22,+8.94,-179.25 6E	ISDPT,-000.248,M,000.9780,B,28.32,C 26	ISDPT,-000.270,M,000.9835,B,28.49,C 20
37	22663	22464	14988	0	ISHPR,315.22,+8.94,-179.25 6E	ISDPT,-000.246,M,000.9781,B,28.32,C 29	ISDPT,-000.268,M,000.9837,B,28.49,C 2B
38	22665	22467	15057	0	ISHPR,315.22,+8.94,-179.24 6F	ISDPT,-000.245,M,000.9783,B,28.32,C 28	ISDPT,-000.268,M,000.9837,B,28.49,C 2B
39	22664	22466	14978	0	ISHPR,315.22,+8.94,-179.25 6E	ISDPT,-000.245,M,000.9783,B,28.32,C 28	ISDPT,-000.267,M,000.9838,B,28.49,C 2B
40	22665	22468	15033	0	ISHPR,315.23,+8.94,-179.25 6F	ISDPT,-000.244,M,000.9784,B,28.32,C 2E	ISDPT,-000.267,M,000.9838,B,28.49,C 2B
41	22664	22467	15063	0	ISHPR,315.23,+8.94,-179.25 6F	ISDPT,-000.247,M,000.9781,B,28.32,C 28	ISDPT,-000.263,M,000.9842,B,28.49,C 22
42	22666	22467	14990	0	ISHPR,315.22,+8.94,-179.25 6E	ISDPT,-000.244,M,000.9784,B,28.32,C 2E	ISDPT,-000.263,M,000.9842,B,28.49,C 22
43	22665	22469	15038	0	ISHPR,315.22,+8.94,-179.25 6E	ISDPT,-000.239,M,000.9788,B,28.32,C 28	ISDPT,-000.265,M,000.9840,B,28.49,C 26
44	22665	22469	15079	0	ISHPR,315.22,+8.94,-179.26 6D	ISDPT,-000.241,M,000.9787,B,28.32,C 28	ISDPT,-000.263,M,000.9842,B,28.49,C 22
45	22665	22468	14997	0	ISHPR,315.22,+8.94,-179.26 6D	ISDPT,-000.239,M,000.9789,B,28.32,C 29	ISDPT,-000.264,M,000.9841,B,28.49,C 26
46	22666	22466	15058	0	ISHPR,315.21,+8.94,-179.26 6E	ISDPT,-000.240,M,000.9788,B,28.32,C 26	ISDPT,-000.265,M,000.9840,B,28.49,C 26
47	22665	22463	15043	0	ISHPR,315.20,+8.94,-179.26 6F	ISDPT,-000.237,M,000.9791,B,28.32,C 2E	ISDPT,-000.265,M,000.9840,B,28.49,C 26
48	22663	22466	15006	0	ISHPR,315.19,+8.94,-179.25 66	ISDPT,-000.236,M,000.9792,B,28.32,C 2C	ISDPT,-000.263,M,000.9842,B,28.49,C 22
49	22664	22466	15054	0	ISHPR,315.19,+8.94,-179.25 66	ISDPT,-000.236,M,000.9792,B,28.32,C 2C	ISDPT,-000.264,M,000.9841,B,28.49,C 26
